list_order,name,brand_slug,processor_type,suggested_slug,suggested_sku,source_list_url,price,compareAtPrice,stock_decision,notes
466,MSI MPG B850 EDGE TI WIFI AM5 ATX Motherboard,msi,AMD,msi-mpg-b850-edge-ti-wifi-am5-atx-motherboard,MB-MSI-MSI-MPG-B850-EDGE-TI-AM5,https://www.startech.com.bd/msi-mpg-b850-edge-ti-wifi-motherboard,,,REVIEW,
467,GIGABYTE Z790 AORUS ELITE X AX ATX Motherboard,gigabyte,Intel,gigabyte-z790-aorus-elite-x-ax-atx-motherboard,MB-GIGABYTE-GIGABYTE-Z790-AORUS-ELITE-X-AX,https://www.startech.com.bd/gigabyte-z790-aorus-elite-x-ax-motherboard,,,REVIEW,
468,GIGABYTE X670 GAMING X AX DDR5 AMD AM5 ATX Motherboard,gigabyte,AMD,gigabyte-x670-gaming-x-ax-ddr5-amd-am5-atx-motherboard,MB-GIGABYTE-GIGABYTE-X670-GAMING-X-AX-AM5,https://www.startech.com.bd/gigabyte-x670-gaming-x-ax-motherboard,,,REVIEW,
469,MSI MAG Z790 TOMAHAWK MAX WIFI ATX Motherboard,msi,Intel,msi-mag-z790-tomahawk-max-wifi-atx-motherboard,MB-MSI-MSI-MAG-Z790-TOMAHAWK-MAX,https://www.startech.com.bd/msi-mag-z790-tomahawk-max-wifi-motherboard,,,REVIEW,
470,Gigabyte Z890 AORUS ELITE WIFI7 LGA 1851 ATX Motherboard,gigabyte,Intel,gigabyte-z890-aorus-elite-wifi7-lga-1851-atx-motherboard,MB-GIGABYTE-GIGABYTE-Z890-AORUS-ELITE-LGA-1851,https://www.startech.com.bd/gigabyte-z890-aorus-elite-wifi7-atx-motherboard,,,REVIEW,
471,Asus ROG STRIX B650-A GAMING WIFI DDR5 AM5 ATX Motherboard,asus,AMD,asus-rog-strix-b650-a-gaming-wifi-ddr5-am5-atx-motherboard,MB-ASUS-ASUS-ROG-STRIX-B650-A-GAMING-AM5,https://www.startech.com.bd/asus-rog-strix-b650-a-gaming-wifi-motherboard,,,REVIEW,
472,GIGABYTE Z790 AORUS ELITE X WIFI7 ATX Motherboard,gigabyte,Intel,gigabyte-z790-aorus-elite-x-wifi7-atx-motherboard,MB-GIGABYTE-GIGABYTE-Z790-AORUS-ELITE-X,https://www.startech.com.bd/gigabyte-z790-aorus-elite-x-wifi7-motherboard,,,REVIEW,
473,MSI MPG Z790 EDGE TI MAX WIFI DDR5 ATX Motherboard,msi,Intel,msi-mpg-z790-edge-ti-max-wifi-ddr5-atx-motherboard,MB-MSI-MSI-MPG-Z790-EDGE-TI-MAX,https://www.startech.com.bd/msi-mpg-z790-edge-ti-max-wifi-motherboard,,,REVIEW,
474,Asus ROG STRIX B860-F GAMING WIFI LGA 1851 ATX Motherboard,asus,Intel,asus-rog-strix-b860-f-gaming-wifi-lga-1851-atx-motherboard,MB-ASUS-ASUS-ROG-STRIX-B860-F-GAMING-LGA-1851,https://www.startech.com.bd/asus-rog-strix-b860-f-gaming-wifi-motherboard,,,REVIEW,
475,Gigabyte Z890 AORUS ELITE WIFI7 ICE LGA 1851 ATX Motherboard,gigabyte,Intel,gigabyte-z890-aorus-elite-wifi7-ice-lga-1851-atx-motherboard,MB-GIGABYTE-GIGABYTE-Z890-AORUS-ELITE-ICE-LGA-1851,https://www.startech.com.bd/gigabyte-z890-aorus-elite-wifi7-ice-atx-motherboard,,,REVIEW,
476,GIGABYTE Z790 AERO G ATX Motherboard,gigabyte,Intel,gigabyte-z790-aero-g-atx-motherboard,MB-GIGABYTE-GIGABYTE-Z790-AERO-G,https://www.startech.com.bd/gigabyte-z790-aero-g-motherboard,,,REVIEW,
477,GIGABYTE X870 AORUS ELITE WIFI7 ICE DDR5 AMD AM5 ATX Motherboard,gigabyte,AMD,gigabyte-x870-aorus-elite-wifi7-ice-ddr5-amd-am5-atx-motherboard,MB-GIGABYTE-GIGABYTE-X870-AORUS-ELITE-ICE-AM5,https://www.startech.com.bd/gigabyte-x870-aorus-elite-wifi7-ice-am5-motherboard,,,REVIEW,
478,GIGABYTE X870 AORUS ELITE WIFI7 DDR5 AMD AM5 ATX Motherboard,gigabyte,AMD,gigabyte-x870-aorus-elite-wifi7-ddr5-amd-am5-atx-motherboard,MB-GIGABYTE-GIGABYTE-X870-AORUS-ELITE-AM5,https://www.startech.com.bd/gigabyte-x870-aorus-elite-wifi7-atx-motherboard,,,REVIEW,
